gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cvig_LOC111119422,1596.40790144294,0.685018103825964,0.156850255851129,7.06190912240792e-06,4.99143901560291e-05
Cvig_LOC111133472,1530.97354281376,-0.0415441557420652,0.104383187019683,0.687237467835698,0.790537356338734
Cvig_LOC111125372,1559.49643758032,0.0238695633443885,0.162649937025973,0.880042326766322,0.924040049190947
Cvig_LOC111134736,1568.47771472022,0.412697288768591,0.1451256210455,0.00360994462808198,0.0126388127960984
Cvig_LOC111128913,1502.68485849337,-0.228369184508566,0.158937492496032,0.139874561131754,0.251153111950784
Cvig_LOC111127890,1541.29213155641,0.201996377479597,0.15017924060957,0.168253035678925,0.288578839195938
Cvig_LOC111122797,1634.54553722136,1.27286782079083,0.366260600519287,6.50018187578842e-05,0.000370591428287991
Cvig_LOC111099119,1973.83382491994,5.76385956373289,0.378859591347166,4.39013382265669e-55,2.94652705182352e-52
Cvig_LOC111113357,1822.83598476476,3.40374412697446,0.169732202225709,1.76535015349583e-91,1.27095988951797e-87
Cvig_LOC111133992,1452.07015102288,-0.96512157780877,0.19690939492288,2.97554937439096e-07,2.75583396991083e-06
Cvig_LOC111136404,1582.66948588405,0.276330376226697,0.155166245382824,0.0675988837524158,0.142426314985971
Cvig_LOC111124725,1520.68054915967,-0.238917819450028,0.133345559352635,0.0678130227268667,0.14279165622582
Cvig_LOC111134266,1512.6167964496,-0.343736988045496,0.119489447289995,0.00347952412744417,0.0122570171524541
Cvig_LOC111130906,1720.93677588593,2.21512175486602,0.330788326886953,2.44494128356936e-13,5.70878407033275e-12
Cvig_LOC111136783,1603.97878067951,0.582965867912844,0.161342535322355,0.000198668938262876,0.00100176017543197
Cvig_LOC111126328,1668.34171576766,1.04820895714429,0.220811092939433,5.21171155299249e-07,4.60384880815313e-06
Cvig_LOC111119400,1500.01725362036,-0.0640234820360884,0.2147012962134,0.754194010895192,0.839931158823965
Cvig_LOC111136762,1480.89693457724,-0.160111695332254,0.232430015043124,0.465628727255553,0.609481218120053
Cvig_LOC111109676,1519.07181240685,-0.246197107499808,0.220313315066674,0.23915183223008,0.375662013131057
Cvig_LOC111121573,1511.80224187674,-0.380604031767259,0.203362107753298,0.050265422946412,0.112296229946499
Cvig_LOC111138039,1591.72778627789,0.47969563849667,0.20167133140444,0.0128585708428789,0.036868170990603
Cvig_LOC111121494,1592.43678848952,0.571514106220254,0.199669715758025,0.0027671761779765,0.0100727639665669
Cvig_LOC111111615,1467.46164147741,-1.18624640258565,0.163705330344521,7.724022286848e-14,1.92917088708329e-12
Cvig_LOC111137183,1574.85628564113,0.672431011462461,0.14823502090683,3.2937345935999e-06,2.49521752533883e-05
Cvig_LOC111134877,1570.06251534776,-0.158677845338837,0.351595418655552,0.606486245876185,0.727575912765326
Cvig_LOC111124717,1516.95064693324,0.00387465687050595,0.138636159844525,0.977246035803476,0.98609257883119
Cvig_LOC111136265,1532.0016339085,-0.0853647789167736,0.131107990766359,0.507291233668572,0.646148024149039
Cvig_LOC111136304,1721.03330801779,1.39715752665134,0.240964641126255,6.41027079999639e-10,9.23764241141553e-09
Cvig_LOC111119091,1601.88885472246,0.481034483950749,0.191968852623391,0.00905789956450741,0.0274953273443405
Cvig_LOC111119620,1516.09493285934,0.0155419070667665,0.135804187238285,0.907101356487361,0.941638551085751
Cvig_LOC111136721,1592.76851095812,0.652469239302394,0.141998275143754,2.57782908833508e-06,1.9935675065342e-05
Cvig_LOC111120517,1633.76369999261,1.24724224653943,0.11324651261675,5.08494477141297e-29,5.64804869064162e-27
Cvig_LOC111135680,1564.09696413962,-0.361656537970879,0.354829230858389,0.243291308736342,0.380799063912271
Cvig_LOC111134551,1569.83483390201,0.422443402777843,0.147878779228444,0.00342993871837147,0.0120999124212735
Cvig_LOC111136833,1646.73860494858,1.32385399665809,0.152654684575441,5.1987861869397e-19,2.22216409575898e-17
